, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label,Cluster no.,Prob,new_label
6290,0.918227617969248,0.004959938954597,0.003158196956647,0.004800594880094,0.001523910865384,0.016652397260274,0.0,0.020573978058392,0.020729863238098,0.248968363136176,0.0,0.156757646289113,0.116646856134724,0.003849903147965,0.400000045377515,0.039240297032134,0.274293317927191,0.923413425903905,1.70940169479144e-08,0.916666666666667,0.071226070462185,0.372255217186902,0.923412324513987,8.403361344537821e-09,0.003230016666667,0.000323001666667,0.001231085857969,0.002564533333333,4.16666666666667e-07,0.0,0.0,0.0,0.0,0.004459092671578,0.003229742338333,4.2352347e-08,9.98305319999999e-08,0.0,0.123972602739726,0.212524905281869,0.170353143009316,0.029003075963542,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.210444874274661,0.020573978058392,0.156757646289113,0.004459092671578,0.0,0.0,0.0,0.0,0.0,0.0,0.004959938954597,0.004800594880094,0.003158196956647,0.001523910865384,1.0,0.001876831054688,0.005159071367154,0.571428571428571,0.016352932421607,0.0,0.010308664311729,0.020837910447761,0.923413425260986,0.0,0.923413425260986,0.923413425260986,0.0,-1,0.0,0.0
11491,0.059041161934139,0.022510492178558,0.026701119724376,1.0,0.005511492865867,1.0,0.0,1.0,0.869474020889125,0.19308803301238,0.0,0.067057622946298,0.080201390764464,0.003864735516761,0.40000431904412,0.000398394789672,0.005449091539931,0.045882985622571,8.547008473957191e-09,0.059040841666667,0.001009101410084,0.008717001490368,0.045882922918668,1.51260504201681e-07,0.057377525,0.00062366875,0.007413011368895,0.045933158333333,8.33333333333333e-09,0.0,0.0,0.0,0.0,0.011748739821636,0.016794660159334,2.822904653e-06,1.312650664e-05,0.0,1.0,0.722457836973083,0.782534023417697,0.614583333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.025641025641026,0.692367985009671,1.0,0.067057622946298,0.011748739821636,0.0,0.0,0.0,0.0,0.0,0.0,0.022510492178558,1.0,0.026701119724376,0.005511492865867,0.125015258789063,0.003921508789063,0.036973344797936,0.357142857142857,0.055099131858807,0.0,0.034733737017689,0.070210696517413,0.045882977613076,0.0,0.045882977613076,0.045882977613076,0.0,-1,0.0,0.0
9984,0.682775457330333,0.00228920259443,0.002871088142406,0.063495795378744,1.03605217802546e-05,0.1875,0.0,0.544249674734464,0.365295808980397,0.00171939477304,0.0,0.001172312731661,0.000610966401347,0.003849924238868,0.400000041497513,0.043767433925065,0.232659510741814,0.641352600191993,3.41880338958288e-08,0.6825,0.115126050420168,0.408990929409294,0.686682983138583,2.52100840336134e-08,0.681666666666666,0.075749379633333,0.325192802056555,0.636666666666667,2.5e-08,0.0,0.0,0.0,0.0,0.001473439317565,0.001901959377019,2.84786853333333e-08,1.22051509e-07,0.0,0.1875,0.329750014118842,0.343859437229407,0.118169569895833,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.025641025641026,0.332432586170213,0.544249674734464,0.001172312731661,0.001473439317565,0.0,0.0,0.0,0.0,0.0,0.0,0.00228920259443,0.063495795378744,0.002871088142406,1.03605217802546e-05,0.003509521484375,0.003921508789063,0.004299226139295,0.357142857142857,0.00102789035451,0.0,0.000647967981566,0.001309800995025,0.34334190084704,0.717457528081393,0.641352597181267,0.045503866034001,0.0,-1,0.0,0.0
12272,0.703275415638446,0.001144601297215,0.001148435256962,0.000896694260063,7.58755859789231e-05,0.001797945205479,0.020171457387796,0.013450413902419,0.000199240859378,0.014442916093535,0.056171983356449,0.021463666925265,0.006129536848986,0.003849859405337,0.400000018959008,0.103418811081891,0.390623073298098,0.70850993964721,3.41880338958288e-08,0.703333333333333,0.236134453781513,0.596343061743491,0.708509092627096,2.52100840336134e-08,0.703333333333333,0.234166666666667,0.625964010282776,0.703333333333333,3.33333333333333e-08,0.0,0.0,0.0,0.0,0.000775494377666,0.00071772051963,1.5799173e-08,4.7397519e-08,0.030097817908202,0.007191780821918,0.039614017267649,0.012278150642033,0.0001506640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025641025641026,0.042432301740812,0.013450413902419,0.021463666925265,0.000775494377666,0.0,0.0,0.0,0.0,0.0,0.0,0.001144601297215,0.000896694260063,0.001148435256962,7.58755859789231e-05,0.0,0.0,0.002579535683577,0.357142857142857,7.88672661567989e-06,0.0,4.97168428899032e-06,1.00497512437811e-05,0.708509937200248,0.0,0.708509937200248,0.708509937200248,0.0,-1,0.0,0.0
7269,0.685258953784806,0.001907668828691,0.002871088142406,0.063495795378744,1.03605217802546e-05,0.433861301369863,0.0,0.634957953856874,0.700352047063599,0.00171939477304,0.0,0.001172312731661,0.000610966401347,0.003849923990219,0.400000038914935,0.046855073103803,0.222863320815843,0.59182406234377,1.70940169479144e-08,0.685,0.13781512605042,0.439604022927954,0.677448859893443,4.20168067226891e-08,0.6725,0.074683927775,0.299485861182519,0.5875,8.33333333333333e-09,0.0,0.0,0.0,0.0,0.001279565723149,0.001901959377019,2.43218346666667e-08,1.21609173e-07,0.0,0.433861301369863,0.349147073743017,0.561553973963677,0.315156862760417,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.025641025641026,0.353209622823985,0.634957953856874,0.001172312731661,0.001279565723149,0.0,0.0,0.0,0.0,0.0,0.0,0.001907668828691,0.063495795378744,0.002871088142406,1.03605217802546e-05,0.003509521484375,0.003921508789063,0.003439380911436,0.357142857142857,0.000531846484945,0.0,0.000335268729627,0.000677711442786,0.338305100345616,0.610267658348117,0.591824058917269,0.084786141773963,0.0,-1,0.0,0.0
5038,0.638059137745778,0.000381533765738,0.000574217628481,0.000557700088576,2.7272549980376e-05,0.002354452054795,0.023701462430661,0.016731002659107,0.000976076883014,0.009972489683631,0.04368932038835,0.015429704335833,0.004573302269136,0.003849857396537,0.400000010448408,0.217948724632917,0.540014969669157,0.642192066935183,0.000200376066663,0.6375,0.642857142857143,0.0,0.642191298412,0.642857142857143,0.6375,0.6375,0.0,0.6375,0.6375,0.0,0.0,0.0,0.0,0.000504071345483,0.000466518337759,8.70700633333333e-09,2.6121019e-08,0.035364936042137,0.004965753424658,0.033316404266125,0.006607659942431,4.36354166666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025641025641026,0.039651837524178,0.016731002659107,0.015429704335833,0.000504071345483,0.0,0.0,0.0,0.0,0.0,0.0,0.000381533765738,0.000557700088576,0.000574217628481,2.7272549980376e-05,0.0,0.0,0.000859845227859,0.357142857142857,0.002348799933033,0.0,0.001480651263076,0.002992985074627,0.642192063931504,0.0,0.642192063931504,0.642192063931504,0.0,-1,0.0,0.0
8555,3.33335094453749e-08,0.000381533765738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003849855630414,0.53333333334,3.41880338958288e-08,0.0,3.35786697276087e-08,3.41880338958288e-08,2.5e-08,2.52100840336134e-08,0.0,2.51839724867451e-08,2.52100840336134e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000620395502133,0.0,0.222222222233333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000620395502133,0.0,0.0,0.0,0.0,0.0,0.0,0.000381533765738,0.0,0.0,0.0,1.0,0.0,0.0,0.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0
8513,0.8821498106915,0.004578405188859,0.003158196956647,0.000169497085744,0.0,0.001327054794521,0.0,0.000782294242106,0.001483539300726,0.0,0.0,0.0,0.0,0.003849855771341,0.400000045344012,0.039337584202243,0.061024449261305,0.083946682713689,1.36752135583315e-07,0.883333333333333,0.074129843840336,0.037782728830246,0.083946574955817,1.26050420168067e-07,0.833333333333333,0.083333333333333,3.72572350514139e-06,0.083333333333333,0.083333333333333,0.0,0.0,0.0,0.0,0.004032570763862,0.00315797028637,4.09355666666667e-08,1.03913361e-07,0.0,0.001327054794521,0.000629761300152,0.001415367424451,2.00208333333333e-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000624597034333,0.000782294242106,0.0,0.004032570763862,0.0,0.0,0.0,0.0,0.0,0.0,0.004578405188859,0.000169497085744,0.003158196956647,0.0,0.004013061523438,0.016281127929688,0.000859845227859,0.571428571428571,0.000914934824404,9.80383172015716e-06,0.000591039735227,0.001152786069652,0.080588524895826,0.020126328112497,0.083946675023726,0.044945116965043,0.0,-1,0.0,0.0
20895,0.534029254787896,0.000381533765738,0.0,0.000404605946614,0.0,0.001583904109589,0.018658598083712,0.012138178399744,0.0,0.0,0.0,0.0,0.0,0.003849856186116,0.400000006241888,0.547863251727665,0.0,0.538098190779596,0.547863251727665,0.534166666666667,0.538655462184874,0.0,0.538097545466787,0.538655462184874,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000620395502133,0.0,1.04031473333333e-08,0.0,0.027840481565087,0.001583904109589,0.018791264601321,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.02683752417795,0.012138178399744,0.0,0.000620395502133,0.0,0.0,0.0,0.0,0.0,0.0,0.000381533765738,0.000404605946614,0.0,0.0,1.0,0.0,0.000859845227859,0.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0
8412,0.052329726475388,0.001144601297215,0.000574217628481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003849855630414,0.400000191097013,0.010734252899707,0.024010555613205,0.038707895475175,1.79487177953101e-07,0.052329441666667,0.017589728294118,0.027547046300762,0.038707841264045,0.002360932773109,0.011562941666667,0.011562941666667,0.0,0.011562941666667,0.011562941666667,0.0,0.0,0.0,0.0,0.001318340442032,0.00071772051963,2.12330014666667e-07,3.18495022e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001318340442032,0.0,0.0,0.0,0.0,0.0,0.0,0.001144601297215,0.0,0.000574217628481,0.0,0.445571899414063,0.176773071289063,0.0,0.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0
8787,0.100774190756975,0.003433803891644,0.002009761699684,0.003384474066946,4.646998739673e-05,0.022131849315069,0.0,0.020306844403896,0.027832867689642,0.011777854195323,0.0,0.007511667713128,0.007910016174902,0.0038498924008,0.400000281158153,0.00645985785077,0.014568401411606,0.03492185849005,3.41880338958288e-08,0.081326316666667,0.009112192344538,0.017124888116302,0.03492180876025,3.4453781512605e-06,0.039359291666667,0.006559881944167,0.011805099150386,0.018051008333333,2.5e-08,0.0,0.0,0.0,0.0,0.003528499418379,0.002081389506926,2.75645248333333e-07,5.78855021e-07,0.0,0.022131849315069,0.026070763499238,0.028424389604427,0.0008074693625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.026282853568665,0.020306844403896,0.007511667713128,0.003528499418379,0.0,0.0,0.0,0.0,0.0,0.0,0.003433803891644,0.003384474066946,0.002009761699684,4.646998739673e-05,0.445571899414063,0.00091552734375,0.002579535683577,0.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0
7785,0.01142402702361,0.000763067531477,0.000861326442722,0.0,2.74249105947915e-06,0.0,0.0,0.0,0.0,0.000515818431912,0.004160887656033,0.00103439358676,0.0,0.003849861949134,0.400000875353333,0.002343384595356,0.003125409240197,0.005007628989815,0.000744999993632,0.010697591666667,0.005393743697479,0.000724723728482,0.005739469303017,0.005042067226891,0.01069745,0.005348725,0.000873340496144,0.0057491,0.00494835,0.0,0.0,0.0,0.0,0.000891818534316,0.000538290389722,7.29461110666667e-07,2.188383332e-06,0.0,0.000256849315068,0.001305956613002,0.000732141010891,5.357142859375e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.025641025641026,0.001450676982592,0.0,0.00103439358676,0.000891818534316,0.0,0.0,0.0,0.0,0.0,0.0,0.000763067531477,0.0,0.000861326442722,2.74249105947915e-06,0.125015258789063,1.52587890625e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6034069939643353,0.0
422,0.043615288767442,0.00228920259443,0.001148435256962,0.003275121108402,2.08734041749246e-05,0.022131849315069,0.0,0.028072466646043,0.03300983589392,0.011777854195323,0.0,0.005904663391087,0.008359101650235,0.003849923303292,0.400000420344201,0.004473346970313,0.018609421791273,0.040672339995582,1.45299144057272e-07,0.04361505,0.007330260504202,0.024776445570849,0.041980213070342,1.34453781512605e-07,0.0022737,0.0007579,0.001041080935219,0.001302075,2.60833333333333e-06,0.0,0.0,0.0,0.0,0.002248933695231,0.00122012488337,4.45819607e-07,7.64262183e-07,0.0,0.022131849315069,0.031149483661757,0.034033110818345,0.001157569444271,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.032354492703095,0.028072466646043,0.005904663391087,0.002248933695231,0.0,0.0,0.0,0.0,0.0,0.0,0.00228920259443,0.003275121108402,0.001148435256962,2.08734041749246e-05,0.445571899414063,0.003631591796875,0.002579535683577,0.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0
17134,0.111981791637132,0.024036627241511,0.027562446167097,0.106072369787965,0.024093698121211,0.176070205479452,0.0,0.099442846687091,0.170770838545599,0.376547455295736,0.0,0.283984139298336,0.110810524163647,0.00385621354306,0.400002381352285,0.000722351335008,0.009734794975304,0.08283926658074,1.70940169479144e-08,0.029747066666667,0.000476143524076,0.002875568953422,0.015566826204054,1.31932773109244e-06,0.111436533333333,0.001173016140351,0.013228973642223,0.082234008333333,8.33333333333333e-09,0.0,0.0,0.0,0.0,0.012601783637069,0.017297064523075,1.5875681901e-06,7.1440568554e-06,0.0,0.1875,0.56003457315094,0.261933161989744,0.068568512786296,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.025641025641026,0.536557059961315,0.099442846687091,0.283984139298336,0.012601783637069,0.0,0.0,0.0,0.0,0.0,0.0,0.024036627241511,0.106072369787965,0.027562446167097,0.024093698121211,0.445571899414063,0.0008544921875,0.054170249355116,0.357142857142857,0.139370875037003,0.0,0.087857488097369,0.177594925373134,0.082839258881481,0.0,0.082839258881481,0.082839258881481,0.0,0,0.1909973801819049,0.0
5263,5.83336415294061e-07,0.000381533765738,0.000574217628481,2.18705917088587e-05,1.8283273729861e-06,8.56164383561644e-05,0.00100857286939,0.000656117751338,0.0,0.000515818431912,0.004160887656033,0.00103439358676,0.0,0.003961445648701,0.411594202898,2.05128203374973e-07,6.36281200250037e-08,2.51840022957065e-07,1.79487177953101e-07,4.08333333333333e-07,4.11764705882353e-07,0.0,4.11338217283503e-07,4.11764705882353e-07,4.08333333333333e-07,4.08333333333333e-07,0.0,4.08333333333333e-07,4.08333333333333e-07,0.0,0.0,0.0,0.0,0.000465296626599,0.000358860259815,0.00966183575,0.02898550725,0.00150489089541,0.000256849315068,0.001828339258507,0.000500147526144,2.5e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.025641025641026,0.002176015473888,0.000656117751338,0.00103439358676,0.000465296626599,0.0,0.0,0.0,0.0,0.0,0.0,0.000381533765738,2.18705917088587e-05,0.000574217628481,1.8283273729861e-06,0.015640258789063,1.52587890625e-05,0.000859845227859,0.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6034069939643353,0.0
19642,4.33335622789874e-07,0.000381533765738,0.000574217628481,2.18705917088587e-05,1.8283273729861e-06,8.56164383561644e-05,0.00100857286939,0.000656117751338,0.0,0.000515818431912,0.004160887656033,0.00103439358676,0.0,0.00400083036102,0.41568627451,1.53846152531229e-07,3.28802296227222e-07,4.11338704163206e-07,1.70940169479144e-08,4e-07,4.03361344537815e-07,0.0,4.02943559787922e-07,4.03361344537815e-07,8.33333333333333e-09,8.33333333333333e-09,0.0,8.33333333333333e-09,8.33333333333333e-09,0.0,0.0,0.0,0.0,0.000465296626599,0.000358860259815,0.013071895423333,0.03921568627,0.00150489089541,0.000256849315068,0.001828339258507,0.000500147526144,2.5e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.025641025641026,0.002176015473888,0.000656117751338,0.00103439358676,0.000465296626599,0.0,0.0,0.0,0.0,0.0,0.0,0.000381533765738,2.18705917088587e-05,0.000574217628481,1.8283273729861e-06,0.015640258789063,1.52587890625e-05,0.000859845227859,0.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6034069939643353,0.0
17886,3.82502020885677e-06,0.003815337657383,0.001148435256962,0.000940435443481,4.96695602994556e-05,0.003381849315069,0.0,0.005129647875286,0.005426491908502,0.014013067400275,0.0,0.01405051288682,0.011484074786172,0.004373116576035,0.40655021834,2.88156285656784e-07,3.53416519574604e-07,7.97493406030706e-07,1.70940169479144e-08,3.81666666666667e-06,3.84873949579832e-07,6.20581093274765e-07,1.32635588430191e-06,8.403361344537821e-09,2.55833333333333e-06,8.527777775e-07,1.71285856940874e-06,2.11666666666667e-06,3.33333333333333e-08,0.0,0.0,0.0,0.0,0.003567274137263,0.001291896935333,0.008005822416667,0.008733624454,0.0,0.006977739726027,0.015807516505841,0.013208712940593,0.0001743671875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01605415860735,0.005129647875286,0.01405051288682,0.003567274137263,0.0,0.0,0.0,0.0,0.0,0.0,0.003815337657383,0.000940435443481,0.001148435256962,4.96695602994556e-05,0.445571899414063,0.031768798828125,0.003439380911436,0.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0
20302,0.001487207857415,0.000763067531477,0.001722652885444,0.001837129703544,0.001766621324148,0.014383561643836,0.0,0.036742594074901,0.033472464378225,0.373452544704264,0.0,0.333160934402207,0.214143279734879,0.00388202800475,0.400010086124294,0.000190674143669,0.000703955695509,0.001378110578958,1.53846152531229e-07,0.000116616666667,5.87983193277311e-05,0.000104129410853,0.000109214494018,8.26890756302521e-06,0.001485641666667,0.000297128333333,0.00092654895617,0.001368033333333,1.41666666666667e-07,0.0,0.0,0.0,0.0,0.001008142690965,0.001794301299074,5.60340238666667e-06,3.362041432e-05,0.0,0.185958904109589,0.605942102590147,0.370314103774302,0.13705164875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.051282051282051,0.641038040135397,0.036742594074901,0.333160934402207,0.001008142690965,0.0,0.0,0.0,0.0,0.0,0.0,0.000763067531477,0.001837129703544,0.001722652885444,0.001766621324148,0.445571899414063,0.00360107421875,0.000859845227859,0.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.1801330707292985,0.0
16890,1.48167449484691e-05,0.001526135062953,0.000574217628481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003849855630414,0.400787844682,2.53988601846251e-06,7.98230732076252e-06,1.36581239117048e-05,3.41880338958288e-08,1.48083333333333e-05,3.73319327731092e-06,9.65940659667116e-06,1.36497130878159e-05,2.52100840336134e-08,2.5e-08,2.5e-08,0.0,2.5e-08,2.5e-08,0.0,0.0,0.0,0.0,0.001783637068631,0.00071772051963,0.000937910335667,0.001125492403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001783637068631,0.0,0.0,0.0,0.0,0.0,0.0,0.001526135062953,0.0,0.000574217628481,0.0,1.0,0.125015258789063,0.0,0.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.34715614397026573,0.0
14386,5.00002641680624e-08,0.000381533765738,0.000574217628481,2.18705917088587e-05,1.8283273729861e-06,8.56164383561644e-05,0.00100857286939,0.000656117751338,0.0,0.000515818431912,0.004160887656033,0.00103439358676,0.0,0.005389797882579,0.56,2.27920226000682e-08,1.41395822223363e-08,3.35786697276087e-08,1.70940169479144e-08,2.5e-08,2.52100840336134e-08,0.0,2.51839724867451e-08,2.52100840336134e-08,8.33333333333333e-09,8.33333333333333e-09,0.0,8.33333333333333e-09,8.33333333333333e-09,0.0,0.0,0.0,0.0,0.000465296626599,0.000358860259815,0.133333333333333,0.4,0.00150489089541,0.000256849315068,0.001828339258507,0.000500147526144,2.5e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.025641025641026,0.002176015473888,0.000656117751338,0.00103439358676,0.000465296626599,0.0,0.0,0.0,0.0,0.0,0.0,0.000381533765738,2.18705917088587e-05,0.000574217628481,1.8283273729861e-06,0.015640258789063,1.52587890625e-05,0.000859845227859,0.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.46892613041598863,0.0
